College Name,Course Title,Level of Study,Intakes,Duration,Tuition Fee
,,,,,
James Cook University Brisbane,"Bachelor of Business, majoring in Business Intelligence and Information Systems",Undergraduate, 09 November 2020 ,2.5 years,"30,400 Per Year"
,,,,,
James Cook University Brisbane,Bachelor of Information Technology,Undergraduate, 09 November 2020 ,2.5 years,"30,400 Per Year"
,,,,,
Queensland University of Technology (QUT),Bachelor of Communication (Digital Media),Undergraduate, 22 February 2021 ,3 years,"31,400 Per Year"
,,,,,
Queensland University of Technology (QUT),Bachelor of Communication (Digital Media)/Bachelor of Information Technology,Undergraduate, 22 February 2021 ,4 years,"33,900 Per Year"
,,,,,
University of the Sunshine Coast,Bachelor of Communication (Social Media),Undergraduate," Expected February 2021, Expected July 2021 ",3 years,"24,000 Per Year"
,,,,,
University of the Sunshine Coast,Bachelor of Computer Science,Undergraduate, Expected February 2021 ,3 years,"28,000 Per Year"
,,,,,
CQUniversity Australia,Bachelor of Digital Media - CC24,Undergraduate," March 2021, July 2021 ",3 years,"28,320 Per Year"
,,,,,
CQUniversity Australia,CG99 - Bachelor of Information Technology (Co-op),Undergraduate, 09 November 2020 ,3 years,"30,480 Per Year"
,,,,,
The University of Queensland,Bachelor of Biotechnology (Honours) Major in Bioinformatics,Undergraduate," 22 February 2021, 26 July 2021 ",4 years,"43,504 Per Year"
,,,,,
The University of Queensland,Bachelor of Biotechnology (Honours) Major in Bioinformatics and Innovation Management (Dual major),Undergraduate," 22 February 2021, 26 July 2021 ",4 years,"43,504 Per Year"
,,,,,
Australian Catholic University,Bachelor of Commerce in Informatics,Undergraduate," 15 February 2021, 26 July 2021, 07 February 2022 ",3 years,"28,248 Per Year"
,,,,,
Australian Catholic University,Bachelor of Teaching / Bachelor of Arts (Humanities),Undergraduate," 15 February 2021, 26 July 2021 ",4 years,"23,400 Per Year"
,,,,,
University of Southern Queensland (USQ),Bachelor of Business and Commerce (Information Technology Management),Undergraduate, 16 November 2020 ,3 years,"25,600 Per Year"
,,,,,
University of Southern Queensland (USQ),Bachelor of Business and Commerce and Bachelor of Information Technology,Undergraduate, 16 November 2020 ,4 years,"26,840 Per Year"
,,,,,
Southern Cross University,Bachelor of Information Technology,Undergraduate," 01 March 2021, 05 July 2021 ",3 years,"26,800 Per Year"
,,,,,
Federation University Australia,Bachelor of Commerce (Accounting and Information Technology),Undergraduate," 16 November 2020, 01 March 2021, 26 July 2021 ",3 years,"25,500 Per Year"
,,,,,
Federation University Australia,Bachelor of Information Technology,Undergraduate," 16 November 2020, 01 March 2021, 26 July 2021 ",3 years,"24,300 Per Year"
,,,,,
James Cook University,Bachelor of Advanced Science in Data Science,Undergraduate, 22 February 2021 ,3 years,"37,680 Per Year"
,,,,,
James Cook University,Bachelor of Arts Majoring in Multimedia Journalism and Writing,Undergraduate," 22 February 2021, 26 July 2021 ",3 years,"30,080 Per Year"
